Unnamed--0,app_name,number_of_reviews,review_score,answer
212,Quantum Lock,65,1,Puzzle
213,Shiver: Vanishing Hitchhiker Collector's Edition,11,1,Mystery
214,Disney's Treasure Planet: Battle of Procyon,20,1,Action
215,Shoot 1UP,44,1,Shooter
216,Constricting Cubes,20,1,Puzzle
217,Super GunWorld 2,15,1,Platformer
218,Super Island God VR,12,1,Simulation
219,Bric,4,1,Puzzle
220,Brick Battalion,34,1,Puzzle
221,Command HQ,16,1,Strategy
222,Combat Cats,45,1,Action
223,The Lonesome Fog,412,1,Horror
224,Super Slam Dunk Touchdown,23,1,Sports
225,Super Snow Fight,422,1,Action
226,Color Symphony 2,519,1,Puzzle
227,Color Assembler,285,1,Puzzle
228,Super Switch,27,1,Puzzle
229,Coffee Pot Terrarium,66,1,Puzzle
230,"Codename: Panzers, Phase Two",36,1,Strategy
231,Coconut Queen,12,1,Simulation
232,Suppressed,84,1,Action
233,The Last Time,20,1,Adventure
234,Clouds & Sheep 2,7,1,Simulation
235,Cloudrift,634,1,Action
236,Swapperoo,50,1,Puzzle
237,Brushwood Buddies,153,1,Puzzle
238,Swift,17,1,Action
239,Clean'Em Up,14,1,Action
240,Super Flippin' Phones,115,1,Puzzle
241,The Makeshifter,934,1,Puzzle
242,Stormworm+,1066,1,Puzzle
243,Construct: Escape the System,25,1,Puzzle
244,Strania - The Stella Machina -,277,1,Shooter
245,Creeper World Anniversary Edition,137,1,Strategy
246,The Otherside,117,1,Horror
247,Creeper World 2 Anniversary Edition,965,1,Strategy
248,Strong Bad Episode 2: Strong Badia the Free,10,1,Adventure
249,Strong Bad Episode 3: Baddest of the Bands,52,1,Adventure
250,Strong Bad Episode 5: 8-Bit Is Enough,219,1,Adventure
251,Cranks and Goggles,217,1,Racing
252,Cradle of Rome,19,1,Puzzle
253,Cradle of Persia,15,1,Puzzle
254,Bounce,69,1,Arcade
255,Counter Agents,29,1,Action
256,Cosmos Crash VR,3,1,Action
257,BowMage,12,1,Fantasy
258,Subterrarium,955,1,Puzzle
259,Sumeru,65,1,Adventure
260,Corona Blossom Vol.2 The Truth From Beyond,57,1,Visual Novel
261,Box Out!,266,1,Sports
262,The Musketeers: Victoria's Quest,14,1,Adventure
263,Sunset's Ashes,407,1,RPG
264,Cooking Dash,6,1,Simulation
265,Super Destronaut,1,1,Arcade
266,Super Dungeon Bros,272,1,Action
267,Bugspeed Collider,13450,1,Racing
268,Claws & Feathers,1487,1,Puzzle
269,Build-A-Lot,47,1,Simulation
270,Build-A-Lot 3,10,1,Simulation
271,Championship Manager 2007,32,1,Sports
272,Champions Of Chaos 2,12,1,RPG
273,Tank Universal 2,15,1,Action
274,Chalo Chalo,144,1,Racing
275,Celia's Quest,40,1,RPG
276,Catyph: The Kunci Experiment,10,1,Adventure
277,Catacombs of the Undercity,187,1,Fantasy
278,Terminal Velocity,5,1,Action
279,Terra Nova: Strike Force Centauri,34,1,FPS
280,CastleAbra,89,1,Adventure
281,Castle Must Be Mine,61,1,Tower Defense
282,CasinoXR,13,1,Gambling
283,Call of Duty: Black Ops II - Multiplayer,46,1,Shooter
284,Carrie's Order Up,1425,1,Simulation
285,The Afterglow of Grisaia,9,1,Visual Novel
286,Caromble!,176,1,Arcade
287,Caretaker Sacrifice,20,1,Horror
288,Cards of Cthulhu,388,1,Horror
289,Captain Kaon,51,1,Action
290,The Beard in the Mirror,49,1,Adventure
291,CapRiders: Euro Soccer,19,1,Sports
292,The Beggar's Ride,9,1,Adventure
293,Candle,39,1,Adventure
294,CRANGA!: Harbor Frenzy,74,1,Puzzle
295,Talismania Deluxe,50,1,Puzzle
296,The Dweller,67,1,Adventure
297,Chill the Piro,271,1,Puzzle
298,The Lab,24,1,Puzzle
299,Systematic Immunity,38,1,Puzzle
300,T-Kara Puzzles,10,1,Puzzle
301,TRIZEAL Remix,19,1,Shooter
302,The Inner World,70,1,Adventure
303,Burnstar,189,1,Puzzle
304,The Inner Sea,1021,1,Adventure
305,Tacopocalypse,103,1,Action
306,The House in Fata Morgana,90,1,Visual Novel
307,Chimpact 1 - Chuck's Adventure,131,1,Adventure
308,The Frontier,15,1,Adventure
309,Character Creator - Graphics Pack,151,1,Simulation
310,Tails,270,1,Adventure
311,Take Command - 2nd Manassas,335,1,Strategy
312,CAGE,14973,1,Action
313,Chicken Invaders 3,97,1,Arcade
314,The Fastest Fist,12,1,Fighting
315,Chicken Invaders 2,6,1,Arcade
316,ChessVR,84,1,Strategy
317,Charm Tale Quest,188,1,Puzzle
318,CLANNAD Side Stories,3217,1,Visual Novel
319,Charlie's Adventure,46,1,Platformer
320,Book Series - Alice in Wonderland,73,1,Fantasy
321,Boo Breakers: The Ghostening,181,1,Action
322,Shovel Knight: Treasure Trove,52,1,Platformer
323,Bit Shifter,2413,1,Puzzle
324,Demented Pixie,125,1,Fantasy
325,Snail Bob 2,65,1,Puzzle
326,Bitslap,9,1,Fighting
327,Snakes on an Extradimensional Plane,27,1,Action
328,Black & White Bushido,87,1,Action
329,Delicious - Emily's New Beginning,4,1,Simulation
330,Soft Body,291,1,Puzzle
331,Black Moon Chronicles,125,1,Fantasy
332,Decisive Campaigns: Case Blue,39,1,Strategy
333,Son of a Witch,13,1,RPG
334,The Unwelcomed,16,1,Horror
335,Soulcaster: Part I & II,70,1,Action
336,Soulless: Ray Of Hope,557,1,Adventure
337,BladeShield,103,1,Action
338,Blades of the Righteous,105,1,Action
339,The Ultimate DOOM,50,1,Shooter
340,Dead TrailZ,84,1,Zombie
341,Space Cat,57,1,Adventure
342,Space Hole 2016,274,1,Sci-fi
343,Blasting Agent: Ultimate Edition,4073,1,Action
344,Dawn's Light,30,1,RPG
345,Dawn of the Robot Empire,226,1,Sci-fi
346,Space Ranger ASK,61,1,Sci-fi
347,Small Town Terrors: Galdor's Bluff Collector's Edition,5,1,Hidden Object
348,Sluggish Morss: Days of the Purple Sun,45,1,Adventure
349,The Purge Day,83,1,Action
350,Bit Blaster XL,25,1,Arcade
351,ShowdownVR,26,1,Action
352,Shower With Your Dad Simulator 2015: Do You Still Shower With Your Dad,105,1,Simulation
353,Tiltagon,543,1,Arcade
354,Discouraged Workers TEEN,36,1,Visual Novel
355,Best in Show Solitaire,216,1,Card
356,Siege Hammer,28,1,Action
357,Sig.Null,624,1,Puzzle
358,Diib's Dilemma,70,1,Puzzle
359,Through Abandoned: The Forest,50,1,Adventure
360,Diesel Guns,164,1,Shooter
361,Diaper Dash,22,1,Simulation
362,Diamond Joyce and the Secrets of Crystal Cave,21,1,Adventure
363,Threads of Destiny,28,1,RPG
364,Deus Ex: Game of the Year Edition,15,1,Action
365,Big Thinkers 1st Grade,6193,1,Educational
366,Detective Hayseed - Hollywood,1409,1,Mystery
367,Detective Hank and the Golden Sneeze,133,1,Mystery
368,Binaries,130,1,Puzzle
369,SkyBoats,221,1,Adventure
370,Slap The Fly,14,1,Action
371,Bipolar Game,8,1,Puzzle
372,Demon Truck,109,1,Racing
373,Birth of Shadows,234,1,RPG
374,Space Ribbon,37,1,Racing
375,Space Scaven,70,1,Sci-fi
376,Dashing Dinos,63,1,Action
377,Spacejacked,31,1,Action
378,The Shape Of Heart,150,1,Romance
379,Star Vikings Forever,18,1,Strategy
380,"Star Wars: Battlefront 2 (Classic, 2005)",17,1,Shooter
381,Star-Twine,26,1,Strategy
382,Cyber Sentinel,1,1,Cyberpunk
383,Cyber Chicken,3539,1,Action
384,Cursed West,10,1,Horror
385,Cursed Castilla (Maldita Castilla EX),26,1,Platformer
386,Starpoint Gemini Warlords,7,1,Sci-fi
387,Curse of the Assassin,305,1,Action
388,Blue Rider,110,1,Shooter
389,Starship Disco,381,1,Rhythm
390,Cubway,23,1,Puzzle
391,Cubotrox,96,1,Puzzle
392,BoX -containment-,1,1,Puzzle
393,Cubixx HD,494,1,Puzzle
394,Cubikolor,50,1,Puzzle
395,Starship Titanic,135,1,Adventure
396,StartBolita,47,1,Puzzle
397,Crystal Towers 2,45,1,Platformer
398,The Real Texas,46,1,Adventure
399,Crystal Cosmos,6360,1,Action
400,Bombslinger,10149,1,Action
401,DELTAZEAL,726,1,Shooter
402,Star Balls,3111,1,Arcade
403,DJ Streamer,3193,1,Music
404,Dark Parables: The Swan Princess and The Dire Tree Collector's Edition,10,1,Puzzle
405,Dark Train,34,1,Adventure
406,Spectrubes,618,1,Puzzle
407,Spectrum,15,1,Puzzle
408,The Tale of a Common Man,66,1,RPG
409,The Tale of Doris and the Dragon - Episode 1,15,1,Adventure
410,Speech Trainer,157,1,Educational
411,BlockAid,22,1,Puzzle
412,The Superfluous,17,1,Puzzle
413,Blockpocalypse,162,1,Puzzle
414,Spell Casting: Meowgically Enhanced Edition,77,1,Fantasy
415,Blockships,75,1,Arcade
416,DNO Rasa's Journey,41,1,Adventure
417,Blockwick 2,134,1,Puzzle
418,Dark Parables: The Red Riding Hood Sisters Collector's Edition,64,1,Puzzle
419,Dark Parables: The Little Mermaid and the Purple Tide Collector's Edition,580,1,Puzzle
420,Dark Parables: Rise of the Snow Queen Collector's Edition,1993,1,Puzzle
421,Dark Parables: Curse of Briar Rose Collector's Edition,80,1,Puzzle
422,Danmaku Unlimited 2,69,1,Shooter
423,Spooky Bonus,9,1,Puzzle
424,Sprite Lamp,42,1,Puzzle
425,Daily Espada,68,1,Action
426,DUO,75,1,Puzzle
427,HEBEREKE!: March! Red Army Girls' Brigade,106,1,Platformer
428,Atlantis Sky Patrol ,28,1,Puzzle
429,The Body VR: Journey Inside a Cell,91,1,Educational
430,Metrico+,774,1,Puzzle
431,Monster Maze VR,169,1,Adventure
432,Monsterland,59,1,Puzzle
433,Monsters!,169,1,Action
434,ItzaZoo,1554,1,Simulation
435,Moonstrider,25,1,Fantasy
436,Watson's Watch,18,1,Mystery
437,Hex Phase,16,1,Puzzle
438,Moribund,569,1,Action
439,XO-Planets,108,1,Strategy
440,XNemesis,38,1,Action
441,Mos Speedrun 2,1,1,Platformer
442,Mr. Massagy,1026,1,Simulation
443,Wave Mechanics,3269,1,Puzzle
444,Invisible Apartment 2,93,1,Adventure
445,Murasaki,62,1,Action
446,My Family Creative Studio,12,1,Simulation
447,ASTROKILL,5680,1,Action
448,Wuppo - Definitive Edition,47,1,Adventure
449,Wrath Of The Fire God,36,1,Fantasy
450,Mystery Case Files: Huntsville ,9,1,Puzzle
451,Hexcells Infinite,2700,1,Puzzle
452,Mystery Case Files: Madame Fate ,9349,1,Puzzle
453,Mystery Case Files: PrimeSuspects ,857,1,Mystery
454,Innoquous 5,747,1,Puzzle
455,Voxel Blast,58,1,Shooter
456,Ohr,2117,1,RPG
457,Jacob Jones and the Bigfoot Mystery : Episode 1,43,1,Adventure
458,AGON - The Lost Sword of Toledo,649,1,Adventure
459,Oniris Basket VR,13,1,Sports
460,KOTH,20,1,Strategy
461,Zasa - An AI Story,26,1,Sci-fi
462,Midnight Mysteries 4: Haunted Houdini,30,1,Puzzle
463,K Station,96,1,Sci-fi
464,Orange Moon,147,1,Adventure
465,Z. Year One,1317,1,Survival
466,Milford Heaven - Luken's Chronicles,1705,1,Adventure
467,Operation KREEP,95,1,Strategy
468,Jumper Jape,26,1,Platformer
469,Jump Tanks,9,1,Action
470,Hover Hazard,73,1,Action
471,One day in London,188,1,Adventure
472,Mishap 2: An Intentional Haunting,10,1,Puzzle
473,Alchemist Penguin,12,1,Puzzle
474,Hello Charlotte,15,1,RPG
475,One Small Fire At A Time,641,1,Puzzle
476,One Man Is Not No Man,13,1,Action
477,Jockey Rush,10,1,Sports
478,Mini Metal,418,1,Action
479,One Final Chaos,52,1,Action
480,YamaYama,36,1,Puzzle
481,Mini's Magic World,629,1,Adventure
481,Mini's Magic World,629,1,Adventure
482,Miracle Fly,13,1,Platformer
483,Omni Link,24,1,Puzzle
484,Hidden Expedition: The Crown of Solomon Collector's Edition,2,1,Adventure
485,Mystery Case Files: Ravenhearst ,53,1,Puzzle
486,Mystic Defense,161,1,Fantasy
487,New York Mysteries: High Voltage,1663,1,Mystery
488,Hypership Out of Control,265,1,Arcade
489,Hyperdrive Massacre,158,1,Action
490,Hyperdimension Neptunia Re;Birth3 V Generation,95,1,RPG
491,Werewolves Within,31,1,Horror
492,Witch & HeroÂ‹Â¬?Â‚??Â†Â??Â?Â†??ÂŠ??Â‹Â¬?,8,1,Action
493,Notrium,16,1,Survival
494,Wish Project,11,1,RPG
495,Westward,8,1,Adventure
496,Hyper Gods,4,1,Action
497,Networm,681,1,Puzzle
498,Nevertales: The Beauty Within Collector's Edition,160,1,Adventure
499,Windscape,28,1,Adventure
500,Hyspherical 2,4576,1,Puzzle
501,New York Mysteries: The Lantern of Souls,1027,1,Mystery
502,Ninja Outbreak,26,1,Action
503,When In Rome,672,1,Strategy
504,Night Blights,9,1,Horror
505,Where Angels Cry - Tears Of The Fallen (Collectors Edition),17,1,Adventure
506,Age of Empires?? III (2007),204,1,Strategy
507,WinKings,68,1,Adventure
508,NightShift Legacy,119,1,Puzzle
509,Huenison,1059,1,Puzzle
510,Wildlife Creative Studio,70,1,Simulation
511,House of Snark 6-in-1 Bundle,1995,1,Puzzle
512,Adventure Apes and the Mayan Mystery,166,1,Adventure
513,Nebulous,172,1,Sci-fi
514,Worldy Cup,24,1,Sports
515,NSFW ~ Not a Simulator For Working,518,1,Simulation
516,Worlds of Chaos: Invasion,110,1,RPG
517,Mystic Towers,61,1,Adventure
518,Infinite Minigolf,106,1,Sports
519,Abduction Bit,1091,1,Arcade
520,Infinite Game Works Episode 0,111,1,RPG
521,Observatory: A VR Variety Pack,2,1,Mixed
522,Myths Of Orion,14,1,Fantasy
523,Hide & Spook: The Haunted Alchemist,7281,1,Adventure
524,Oblivion's Edge,8,1,Fantasy
525,ONRAID,18,1,Shooter
526,NOBUNAGA'S AMBITION: Tenshouki WPK HD Version,130,1,Strategy
527,World VR Competition,92,1,Sports
528,Navpoint,19,1,Sci-fi
529,"Nancy Drew Dossier: Lights, Camera, Curses!",23,1,Mystery
530,Word Wonders: The Tower of Babel,175,1,Puzzle
531,Highway to the Moon,80,1,Adventure
532,Impossiball,35,1,Arcade
533,Wondershot,12,1,Action
534,Across,291,1,Puzzle
535,Icebound,32,1,Adventure
536,Weather Lord: Following the Princess Collector's Edition,36,1,Strategy
537,Ahnayro: The Dream World,1121,1,Puzzle
538,Higurashi When They Cry Hou - Ch.3 Tatarigoroshi,378,1,Horror
539,Nancy Drew: Tomb of the Lost Queen,94,1,Adventure
540,ZeGame,60,1,Action
541,Mimic Arena,27,1,Action
542,Merlin adventurer store,235,1,Adventure
543,Laser Disco Defenders,85,1,Action
544,MOAI 3: Trade Mission Collector's Edition,20,1,Puzzle
545,MOAI 4: Terra Incognita CollectorÂƒ??s Edition,10,1,Adventure
546,Hade,642,1,Action
547,Mactabilis,87,1,Action
548,Legena: Union Tides,634,1,RPG
549,Magical Eyes - Red is for Anguish,88,1,Mystery
550,21 Steps to Soul,93,1,Puzzle
551,Lazerbait,21,1,Strategy
552,Lavapools,96,1,Platformer
553,Mahjong Quest,460,1,Puzzle
554,Last Days,69,1,Survival
555,Alice's Patchworks 2,142,1,Puzzle
556,Massive Assault Network 2,2675,1,Strategy
557,3DF Zephyr Lite Steam Edition,14,1,Photogrammetry
558,LUXIS,82,1,Puzzle
559,Wanderer of Teandria,68,1,Fantasy
560,Wandering Willows,6,1,Adventure
561,LUMEN,14,1,Puzzle
562,3dSunshine,6,1,Adventure
563,LILT,19,1,Rhythm
564,Marble Void,190,1,Puzzle
565,Hammer Heads Deluxe,8,1,Puzzle
566,Marine Park Empire,158,1,Simulation
567,Kung Fury: Street Rage,7,1,Action
568,WOLFLAME,8,1,Action
569,WITCH-BOT MEGLILO,11,1,Action
570,Let's Explore The Farm (Junior Field Trips),755,1,Educational
571,Lew Pulsipher's Doomstar,5,1,Strategy
572,Lost Lands: Dark Overlord,6,1,Adventure
573,?ÂŸÂ®?ÂŸ??ÂŸ???Âœ?ÂŸÂŸ????ÂŸ??ÂŸÂ¬?ÂŸ? Â†?ÂÂ‚???Â??Â?Â‚Â?Â‘??,74,1,RPG
574,?ÂŸÂ®?ÂŸ??ÂŸ???Âœ?ÂŸÂŸ????ÂŸ??ÂŸÂ¬?ÂŸ? ?ÂŸÂª???????ÂŸ??ÂŸ??ÂŸ??ÂŸÂŸ???,960,1,RPG
575,Lost Lands: The Four Horsemen,7449,1,Adventure
576,PING 1.5+,32308,1,Arcade
577,Lost Socks: Naughty Brothers,308,1,Platformer
578,Lost in Secular Love,1451,1,Romance
579,LostWinds,95,1,Adventure
580,LooWarVR,228,1,Shooter
581,Lucky Rabbit Reflex!,17,1,Simulation
582,PF and the Molten Mystery,38,1,Adventure
583,PD Howler 10,27,1,Art
584,Ludoku,60,1,Puzzle
585,Lumines: Advanced Pack,98,1,Puzzle
586,Little Big Adventure 2,1979,1,Adventure
587,Luxor Amun Rising HD,482,1,Puzzle
588,Luxor HD,32,1,Puzzle
589,Luxor: Amun Rising,10,1,Puzzle
590,LightWalk,96,1,Puzzle
591,Lifeliqe VR Museum,144,1,Educational
592,prog.1,23,1,Puzzle
593,18 Wheels of Steel: Across America,33,1,Simulation
594,WE ARE DOOMED,27,1,Shooter
595,Marvin's Mittens,13,1,Adventure
596,Malavision: The Origin,63,1,Horror
597,Wildlife Camp,275,1,Simulation
598,Maze: Subject 360 Collector's Edition,53,1,Puzzle
599,Zipple World 2: The Sweet Chaos,101,1,Adventure
600,Zolg,31,1,Action
601,Master of Orion 1,222,1,Strategy
602,Zeuxis : procedural texture generator,143,1,Simulation
603,Mecha Ritz: Steel Rondo,141,1,Action
604,Hauntsters,58,1,Horror
605,A Day in the Woods,232,1,Puzzle
606,Kinacoustic,19,1,Simulation
607,"A Fear Of Heights, And Other Things",29,1,Adventure
608,Kitten Cannon,41,1,Casual
609,Kittypocalypse - Ungoggled,264,1,Strategy
610,King of Booze: Drinking Game,12,1,Party
611,Mazement,4,1,Puzzle
612,Melter Man,1224,1,Action
613,Killing Floor - Toy Master,184,1,Horror
614,Memory Oblivion Box,1,1,Puzzle
615,Alien Invasion Tower Defense,121,1,Strategy
615,Alien Invasion Tower Defense,121,1,Strategy
616,7 Wonders: Magical Mystery Tour,1940,1,Puzzle
617,Keep Talking and Nobody Explodes,1963,1,Puzzle
618,Alien Blitz,342,1,Shooter
619,Otem's Defiance,4087,1,Action
620,Max's Big Bust - A Captain Nekorai Tale,7682,1,Visual Novel
